NUMCP;NOMAGENT;PRENOM;ID Etablissement;ID UO;Régime;Assermentation;CODEGRADE;DATEDEBUTGRADE;DATEFINGRADE;CODENIVEAU;DATEDEBUTNIVEAU;DATEFINNIVEAU;CODEQUALIFICATION;DATEDEBUTQUALIF;DATEFINQUALIF;CODEPOSITION;DATEDEBUTPOSITION;DATEFINPOSITION;CODEECHELON;DATEDEBUTECHELON;DATEFINECHELON;Famille;Date début Famille;Date fin Famille;Typologie Agent;Date début Typologie;Date fin Typologie;Equipe;Date début Equipe;Date Fin Equipe;Résidence;Date début Résidence;Date fin Résidence;Date début en Production;Compétence Langue 1;Date début Comp Langue 1;Date fin Comp Langue 1;Compétence Langue 2;Date début Comp Langue 2;Date fin Comp Langue 2;Compténce Train 1;Date début Comp Train 1;Date fin Comp Train 1;Compténce Train 2;Date début Comp Train 2;Date début Comp Train 2;Compétence Traction 1;Date début Comp Traction 1;Date fin Comp Traction 1;Point de Vente;N° de recette;Tél Complémentaire
2105251L;NOM ASCT 01;ANGELIQUE;390112;390001;R;O;ACTP;01/10/1999;31/12/2300;2;01/07/1998;31/12/2300;B;01/01/1998;31/12/2300;9;01/04/2003;31/12/2300;3;01/07/2002;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;11;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;15/05/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;12345678;1;645859565
2110498C;NOM ASCT 02;ARNAUD;390112;390001;R;O;CBORM;01/12/2003;31/12/2300;1;01/12/2003;31/12/2300;D;01/12/2003;31/12/2300;15;01/12/2003;31/12/2300;2;01/10/2002;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;11;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;16/05/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;12345678;2;645859566
2101070J;NOM ASCT 03;FLORENCE;390112;390001;R;O;CBOR;01/07/2000;31/12/2300;1;01/07/1997;31/12/2300;C;01/07/1997;31/12/2300;11;01/04/2004;31/12/2300;6;01/09/2002;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;11;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;17/05/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;12345678;3;645859567
2113395Z;NOM ASCT 04;JEAN LOUIS;390112;390001;R;O;CBORP;01/04/2003;31/12/2300;2;01/04/2000;31/12/2300;C;01/01/1993;31/12/2300;13;01/04/2003;31/12/2300;8;01/01/2004;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;11;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;18/05/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;12345678;4;645859568
2109387U;NOM ASCT 05;PEGGY;390112;390001;R;O;CBOR;01/05/2014;31/12/2300;1;01/07/2003;31/12/2300;B;01/07/2003;31/12/2300;10;01/05/2014;31/12/2300;5;01/07/2014;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;11;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;19/05/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;RRR;01/04/2000;31/12/2300;;;;12345678;5;645859569
2107978M;NOM ASCT 06;EMMANUELLE;390112;390001;R;O;CBOR;01/10/2012;31/12/2300;1;01/07/2001;31/12/2300;B;01/07/2001;31/12/2300;11;01/10/2012;31/12/2300;6;01/07/2016;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;12;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;20/05/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;RRR;01/04/2000;31/12/2300;;;;12345678;6;645859570
2105054A;NOM ASCT 07;LAETITIA;390112;390001;R;O;CBOR;01/04/2013;31/12/2300;2;01/12/2002;31/12/2300;B;01/06/2001;31/12/2300;11;01/04/2013;31/12/2300;5;01/06/2011;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;12;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;21/05/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;RRR;01/04/2000;31/12/2300;;;;12345678;7;645859571
2107304E;NOM ASCT 08;DENIS;390112;390001;R;O;CBOR;01/10/2009;31/12/2300;1;01/01/2002;31/12/2300;B;01/01/2002;31/12/2300;9;01/10/2009;31/12/2300;5;01/01/2012;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;12;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;22/05/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;RRR;01/04/2000;31/12/2300;;;;12345678;8;645859572
2108051H;NOM ASCT 09;EMMANUEL;390112;390001;R;O;CBOR;01/07/2015;31/12/2300;1;01/12/2002;31/12/2300;B;01/12/2002;31/12/2300;11;01/07/2015;31/12/2300;5;01/02/2014;31/12/2300;ASCT;01/04/2000;31/12/2300;B;01/04/2000;31/12/2300;12;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;23/05/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;RRR;01/04/2000;31/12/2300;;;;12345678;9;645859573
2109907K;NOM ASCT 10;FREDERIC;390112;390001;R;O;CBORMP;01/07/2015;31/12/2300;2;01/06/2000;31/12/2300;C;01/06/2000;31/12/2300;16;01/07/2015;31/12/2300;7;01/12/2014;31/12/2300;ASCT;01/04/2000;31/12/2300;B;01/04/2000;31/12/2300;12;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;24/05/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;RRR;01/04/2000;31/12/2300;;;;12345678;10;645859574
2105865R;NOM ASCT 11;FREDERIC;390112;390001;R;O;CBORM;01/07/2017;31/12/2300;2;01/12/2002;31/12/2300;B;01/03/2002;31/12/2300;14;01/07/2017;31/12/2300;6;01/03/2015;31/12/2300;ASCT;01/04/2000;31/12/2300;B;01/04/2000;31/12/2300;11;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;25/05/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;RRR;01/04/2000;31/12/2300;;;;12345678;11;645859575
2109641H;NOM ASCT 12;NICOLAS;390112;390001;R;O;ACTP;01/04/2013;31/12/2300;2;01/08/2002;31/12/2300;B;01/09/2001;31/12/2300;11;01/04/2013;31/12/2300;6;01/09/2014;31/12/2300;ASCT;01/04/2000;31/12/2300;B;01/04/2000;31/12/2300;11;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;26/05/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;RRR;01/04/2000;31/12/2300;;;;12345678;12;645859576
2101901A;NOM ASCT 13;YANICK;390112;390001;R;O;CBORM;01/08/2015;31/12/2300;1;01/02/1999;31/12/2300;C;01/02/1999;31/12/2300;15;01/08/2015;31/12/2300;9;01/09/2011;31/12/2300;ASCT;01/04/2000;31/12/2300;B;01/04/2000;31/12/2300;11;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;27/05/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;RRR;01/04/2000;31/12/2300;;;;12345678;13;645859577
2110399C;NOM ASCT 14;CEDRIC;390112;390001;R;O;ACTP;01/04/2013;31/12/2300;1;01/05/2003;31/12/2300;B;01/05/2003;31/12/2300;10;01/04/2013;31/12/2300;5;01/05/2014;31/12/2300;ASCT;01/04/2000;31/12/2300;B;01/04/2000;31/12/2300;11;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;28/05/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;RRR;01/04/2000;31/12/2300;;;;12345678;14;645859578
2110423X;NOM ASCT 15;STEPHANE;390112;390001;R;O;CBORM;01/04/2013;31/12/2300;1;01/07/2000;31/12/2300;C;01/07/2000;31/12/2300;15;01/04/2013;31/12/2300;9;01/11/2013;31/12/2300;ASCT;01/04/2000;31/12/2300;B;01/04/2000;31/12/2300;11;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;29/05/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;RRR;01/04/2000;31/12/2300;;;;12345678;15;645859579
2110061K;NOM ASCT 16;FREDERIC;390112;390001;R;O;CBORP;01/01/2015;31/12/2300;1;01/06/2002;31/12/2300;B;01/06/2002;31/12/2300;12;01/01/2015;31/12/2300;5;01/06/2013;31/12/2300;ASCT;01/04/2000;31/12/2300;B;01/04/2000;31/12/2300;12;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;30/05/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;RRR;01/04/2000;31/12/2300;;;;12345678;16;645859580
2105162J;NOM UO 390001 RET1 OBS ;MARIE;390112;390001;R;O;CBOR;01/04/2016;31/12/2300;1;01/01/2004;31/12/2300;B;01/01/2004;31/12/2300;11;01/04/2016;31/12/2300;5;01/05/2015;31/12/2300;ASCT;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;12;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;31/05/2000;SP;01/04/2000;31/12/2300;AB;01/04/2000;31/12/2300;TGVD;01/04/2000;31/12/2300;RRR;01/04/2000;31/12/2300;;;;12345678;17;645859581
2104581Z;NOM ASCT 18;EDITH;390112;390001;R;O;CBORP;01/04/2017;31/12/2300;2;01/02/2000;31/12/2300;B;01/02/1999;31/12/2300;13;01/04/2017;31/12/2300;6;01/02/2012;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;12;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;01/06/2000;SP;01/04/2000;31/12/2300;AB;01/04/2000;31/12/2300;TGVD;01/04/2000;31/12/2300;RRR;01/04/2000;31/12/2300;;;;12345678;18;645859582
